	エヌイーエル	0
亜門一族	アモンイチゾク	0
亜門翔	アモンカケル	0
亜門鋼太朗	アモンコウタロウ	0
亜阿相界	アアソウカイ	1
亜風炉照美	アフロテルミ	0
亜麻色の髪の乙女	アマイロノカミノオトメ	0
亜麻音	アマネ	0
亝	セイ	1
亞	ア	1
亞北ネル	アキタネル	0
亞北ネル in 初音ミク-ProjectDIVA-	アキタネルインハツネミクプロジェクトディーバ	0
亞北ネロ	アキタネロ	0
亞北ネロ誕生祝	アキタネロタンジョウイワイ	0
亞北ネロ誕生祝2010	アキタネロタンジョウイワイニセンジュウ	1
亞北ネロ誕生祝2011	アキタネロタンジョウイワイニセンジュウイチ	1
亞北ネロ誕生祝2012	アキタネロタンジョウイワイニセンジュウニ	1
亞北ネロ誕生祝2013	アキタネロタンジョウイワイニセンジュウサン	1
亞北ネロ誕生祝2014	アキタネロタンジョウイワイニセンジュウヨン	1
亞北ネロ誕生祝2015	アキタネロタンジョウイワイニセンジュウゴ	1
亞北ネロ誕生祝2016	アキタネロタンジョウイワイニセンジュウロク	1
亞北ネロ誕生祝2017	アキタネロタンジョウイワイニセンジュウナナ	1
亞北ネロ誕生祝2018	アキタネロタンジョウイワイニセンジュウハチ	1
亞北ネロ誕生祝2019	アキタネロタンジョウイワイニセンジュウク	1
亞夜子	アヤコ	0
亞璃沙	アリサ	0
亟	キョク	0
亠	トウ	0
亠部	トウブ	0
亡(仮面ライダーゼロワン)	ナキ	0
亡きcn兄貴の為のセプテット	ナキシーエヌアニキノタメノセプテット	1
亡き兄に復讐を誓う姉弟に心打たれる男	ナキアニニフクシュウヲチカウキョウダイニココロウタレルオトコ	1
亡き王女のためのパヴァーヌ	ナキオウジョノタメノパヴァーヌ	0
亡き王女の為のセプテット	ナキオウジョノタメノセプテット	0
亡くなればいいのに	ナクナレバイイノニ	1
亡びの風	ホロビノカゼ	0
亡妬メィア	ナイトメィア	0
亡者めくり	モウジャメクリ	0
亡者王	モウジャオウ	1
亡骸	ナキガラ	1
亢	コウ	0
交	コウ	0
交わらぬ道	マジワラヌミチ	0
交わる季節	マジワルキセツ	0
交わる幻想郷Project	マジワルゲンソウキョウプロジェクト	0
交代で4コマスレ	コウタイデヨンコマスレ	0
交代寄合	コウタイヨリアイ	0
交告	コウケツ	0
交尾	コウビ	0
交差する想いがつながるRPG	コウサスルオモイガツナガルアールピージー	1
交差法	コウサホウ	0
交差点	コウサテン	0
交差点名標識	コウサテンメイヒョウシキ	0
交感ノート	コウカンノート	1
交戦規定アルファ	コウセンキテイアルファ	0
交流戦	コウリュウセン	0
交流重賞	コウリュウジュウショウ	1
交流電鐘	コウリュウデンショウ	1
交流電鐘式踏切	コウリュウデンショウシキフミキリ	0
交渉人 真下正義	コウショウニンマシタマサヨシ	0
交狂尻篇ガチムチセブン	コウキョウシヘンガチムチセブン	0
交通	コウツウ	0
交通サービス	コウツウサービス	0
交通サービス株式会社	コウツウサービスカブシキガイシャ	1
交通センター前駅	コウツウセンターマエエキ	0
交通ヒヤリハット	コウツウヒヤリハット	0
交通ヒヤリ・ハット	コウツウヒヤリハット	1
交通事子	コウツウジコ	1
交通事故	コウツウジコ	0
交通博物館	コウツウハクブツカン	0
交通危険予知	コウツウキケンヨチ	1
交通困難地	コウツウコンナンチ	0
交通安全旗	コウツウアンゼンキ	1
交通安全立哨	コウツウアンゼンリッショウ	0
交通安全運動	コウツウアンゼンウンドウ	0
交通局の白い悪魔	コウツウキョクノシロイアクマ	0
交通巡査	コウツウジュンサ	0
交通情報ラジオ	コウツウジョウホウラジオ	0
交通標識	コウツウヒョウシキ	1
交通機動隊	コウツウキドウタイ	0
交通機動隊がアップを始める動画	コウツウキドウタイガアップヲハジメルドウガ	0
交通科学博物館	コウツウカガクハクブツカン	1
交通系IC	コウツウケイアイシーカード	1
交通系ICカード	コウツウケイアイシーカード	0
交通系電子マネー	コウツウケイデンシマネー	1
交野市	カタノシ	0
交野線	カタノセン	1
交響曲	コウキョウキョク	0
交響曲「HARIKOMI」	コウキョウキョクハリコミ	0
交響曲第1番(ブラームス)	コウキョウキョクダイイチバン	1
交響曲第4番(ブラームス)	コウキョウキョクダイヨンバン	0
交響曲第4番（シューマン）	コウキョウキョクダイヨンバンシューマン	0
交響楽団	コウキョウガクダン	1
交響組曲「ドラゴンクエスト」	コウキョウクミキョクドラゴンクエスト	0
交響組曲「ニコニコ☆スターマイン」	コウキョウクミキョクニコニコスターマイン	1
交響組曲『ニコニコ スターフライト』	コウキョウクミキョクニコニコスターフライト	1
交響詩篇エウレカセブン	コウキョウシヘンエウレカセブン	0
交響詩篇エウレカセブン ハイエボリューション	コウキョウシヘンエウレカセブンハイエボリューション	0
交響詩篇エウレカセブン ポケットが虹でいっぱい	コウキョウシヘンエウレカセブンポケットガニジデイッパイ	0
交響魔人マエストローク	コウキョウマジンマエストローク	0
亥	イ	0
亦	エキ	0
亦野誠子	マタノセイコ	0
亨	トオル	0
享	キョウ	0
享年	キョウネン	0
享徳の乱	キョウトクノラン	0
京	キョウ	0
京(スーパーコンピュータ)	ケイスーパコンピュータ	0
京ことば	キョウコトバ	1
京ちな	キョウチナ	0
京まふ	キョウマフ	1
京アニ	キョウアニ	1
京アニさんと仲良くなりたい	キョウアニサントナカヨクナリタイ	0
京アニメドレー『プレイ』	キョウアニメドレープレイ	1
京アニ速報	キョウアニソクホウ	0
京アミ!	キョウアミ	0
京セラ	キョウセラ	0
京セラドーム	キョウセラドーム	1
京セラドーム大阪	キョウセラドームオオサカ	1
京セラ前駅	キョウセラマエエキ	0
京ヒト	ミヤコヒト	0
京丹後市	キョウタンゴシ	0
京乃まどか	キョウノマドカ	0
京也	キョウヤ	0
京也(ドラマー)	キョウヤドラマー	0
京介	キョウスケ	0
京介(DTMer)	キョウスケ	0
京介。	キョウスケ	0
京助	キョウスケ	0
京口駅	キョウグチエキ	0
京城	ソウル	1
京塚志温	キョウヅカシオン	0
京大	キョウダイ	1
京奈和自動車道	ケイナワジドウシャドウ	0
京奈和道	ケイナワドウ	1
京奥	キョウオク	0
京子	キョウコ	0
京子(これはゾンビですか?)	キョウコ	0
京山将弥	キョウヤママサヤ	0
京急	ケイキュウ	1
京急1000形	ケイキュウセンガタ	0
京急1500形	ケイキュウセンゴヒャクガタ	0
京急1700形	ケイキュウセンナナヒャクガタ	1
京急2000形	ケイキュウニセンガタ	0
京急2100形	ケイキュウニセンヒャクガタ	0
京急600形	ケイキュウロッピャクガタ	0
京急700形	ケイキュウナナヒャクガタ	0
京急800形	ケイキュウハッピャクガタ	0
京急MADリンク	ケイキュウマッドリンク	0
京急の車両	ケイキュウノシャリョウ	0
京急クオリティ	ケイキュウクオリティ	1
京急バス	ケイキュウバス	0
京急ブルースカイトレイン	ケイキュウブルースカイトレイン	1
京急プラレールSTORY	ケイキュウプラレールストーリー	0
京急久里浜	ケイキュウクリハマ	1
京急久里浜線	ケイキュウクリハマセン	1
京急久里浜駅	ケイキュウクリハマエキ	0
京急信仰曲の人	ケイキュウシンコウキョクノヒト	0
京急再発見シリーズ	ケイキュウサイハッケンシリーズ	0
京急品川	ケイキュウシナガワ	0
京急品川駅	ケイキュウシナガワエキ	1
京急大師線	ケイキュウダイシセン	0
京急大津駅	ケイキュウオオツエキ	0
京急富岡駅	ケイキュウトミオカエキ	0
京急川崎	ケイキュウカワサキ	1
京急川崎駅	ケイキュウカワサキエキ	0
京急新1000形	ケイキュウシンセンガタ	0
京急新子安駅	ケイキュウシンコヤスエキ	0
京急旧1000形	ケイキュウキュウセンガタ	0
京急本線	ケイキュウホンセン	0
京急東神奈川駅	ケイキュウヒガシカナガワエキ	0
京急油壺マリンパーク	ケイキュウアブラツボマリンパーク	0
京急田浦駅	ケイキュウタウラエキ	0
京急空港線	ケイキュウクウコウセン	0
京急終了のお知らせ	ケイキュウシュウリョウノオシラセ	0
京急線	ケイキュウセン	0
京急蒲田	ケイキュウカマタ	1
京急蒲田行進曲	ケイキュウカマタコウシンキョク	1
京急蒲田駅	ケイキュウカマタエキ	0
京急車	ケイキュウシャ	1
京急逗子線	ケイキュウズシセン	1
京急長沢駅	ケイキュウナガサワエキ	0
京急関連項目一覧	ケイキュウカンレンコウモクイチラン	0
京急電鉄	ケイキュウデンテツ	1
京急鶴見駅	ケイキュウツルミエキ	0
京成	ケイセイ	1
京成3000形	ケイセイサンゼンガタ	0
京成3050形	ケイセイサンゼンゴジュウガタ	1
京成3300形	ケイセイサンゼンサンビャクガタ	1
京成3400形	ケイセイサンゼンヨンヒャクガタ	0
京成3500形	ケイセイサンゼンゴヒャクガタ	0
京成3600形	ケイセイサンゼンロッピャクガタ	0
京成3700形	ケイセイサンゼンナナヒャクガタ	0
京成AE100形	ケイセイエーイーヒャクガタ	0
京成AE形	ケイセイエーイーガタ	0
京成スカイライナー	ケイセイスカイライナー	1
京成タウンバス	ケイセイタウンバス	0
京成トランジットバス	ケイセイトランジットバス	0
京成バス	ケイセイバス	0
京成バスシステム	ケイセイバスシステム	1
京成バス千葉イースト	ケイセイバスチバイースト	1
京成バス千葉ウエスト	ケイセイバスチバウエスト	1
京成バス千葉セントラル	ケイセイバスチバセントラル	1
京成バス東京	ケイセイバストウキョウ	1
京成パンダ	ケイセイパンダ	0
京成上野	ケイセイウエノ	1
京成上野駅	ケイセイウエノエキ	0
京成千原線	ケイセイチハラセン	1
京成千葉線	ケイセイチバセン	1
京成千葉駅	ケイセイチバエキ	0
京成幕張本郷駅	ケイセイマクハリホンゴウエキ	1
京成成田空港線	ケイセイナリタクウコウセン	1
京成押上線	ケイセイオシアゲセン	1
京成本線	ケイセイホンセン	0
京成杯	ケイセイハイ	0
京成杯3歳S	ケイセイハイサンサイステークス	1
京成杯3歳ステークス	ケイセイハイサンサイステークス	1
京成杯AH	ケイセイハイオータムハンデキャップ	1
京成杯オータムH	ケイセイハイオータムハンデキャップ	1
京成杯オータムハンデ	ケイセイハイオータムハンデ	1
京成杯オータムハンデキャップ	ケイセイハイオータムハンデキャップ	0
京成東成田線	ケイセイヒガシナリタセン	1
京成松戸線	ケイセイマツドセン	1
京成民	ケイセイミン	0
京成赤電	ケイセイアカデン	0
京成金町線	ケイセイカナマチセン	1
京成電鉄	ケイセイデンテツ	0
京成電鉄バスHD	ケイセイデンテツバスホールディングス	1
京成電鉄バスホールディングス	ケイセイデンテツバスホールディングス	1
京成電鉄株式会社	ケイセイデンテツカブシキガイシャ	1
京成高砂駅	ケイセイタカサゴエキ	0
京本和也	キョウモトカズヤ	1
京本政樹	キョウモトマサキ	0
京極	キョウゴク	0
京極エミーリア皐月	キョウゴクエミーリアサツキ	0
京極サツキ	キョウゴクサツキ	0
京極六万石	キョウゴクロクマンゴク	0
京極夏彦	キョウゴクナツヒコ	0
京極尚彦	キョウゴクタカヒコ	0
京極真	キョウゴクマコト	0
京極高次	キョウゴクタカツグ	0
京楽	キョウラク	1
京楽春水	キョウラクシュンスイ	0
京楽産業	キョウラクサンギョウ	0
京橋	キョウバシ	0
京橋グランシャトービル	キョウバシグランシャトービル	1
京橋北口	キョウバシキタグチ	1
京橋駅	キョウバシエキ	0
京橋駅(大阪府)	キョウバシエキ	0
京歌カオル	ケイカカオル	0
京汰	キョウタ	0
京津三条駅	ケイシンサンジョウエキ	1
京津線	ケイシンセン	0
京浜アニメーション	ケイヒンアニメーション	0
京浜急行	ケイヒンキュウコウ	1
京浜急行バス	ケイヒンキュウコウバス	1
京浜急行電鉄	ケイヒンキュウコウデンテツ	0
京浜急行電鉄株式会社	ケイヒンキュウコウデンテツカブシキガイシャ	1
京浜東北線	ケイヒントウホクセン	0
京浜東北線の人	ケイヒントウホクセンノヒト	0
京浜盃	ケイヒンハイ	0
京滋BP	ケイジバイパス	1
京滋バイパス	ケイジバイパス	0
京煎堂二郎	キョウセンドウジロウ	0
京煎堂伊朔	キョウセンドウイサク	0
京煎堂綾鷹	キョウセンドウアヤタカ	0
京王	ケイオウ	1
京王1000系	ケイオウセンケイ	0
京王3000系	ケイオウサンゼンケイ	0
京王5000系	ケイオウゴセンケイ	0
京王5000系(新)	ケイオウゴセンケイ	0
京王6000系	ケイオウロクセンケイ	0
京王7000系	ケイオウナナセンケイ	0
京王8000系	ケイオウハッセンケイ	0
京王9000系	ケイオウキュウセンケイ	0
京王MADリンク	ケイオウマッドリンク	0
京王よみうりランド駅	ケイオウヨミウリランドエキ	0
京王アリーナTOKYO	ケイオウアリーナトウキョウ	1
京王バス	ケイオウバス	0
京王バス中央	ケイオウバスチュウオウ	1
京王バス南	ケイオウバスミナミ	1
京王バス小金井	ケイオウバスコガネイ	1
京王バス東	ケイオウバスヒガシ	1
京王バス株式会社	ケイオウバスカブシキカイシャ	1
京王ライナー	ケイオウライナー	0
京王井の頭線	ケイオウイノカシラセン	1
京王八王子	ケイオウハチオウジ	1
京王八王子駅	ケイオウハチオウジエキ	0
京王堀之内駅	ケイオウホリノウチエキ	0
京王多摩センター駅	ケイオウタマセンターエキ	1
京王多摩川駅	ケイオウタマガワエキ	0
京王帝都電鉄	ケイオウテイトデンテツ	0
京王帝都電鉄の中型車	ケイオウテイトデンテツノチュウガタシャ	0
京王新線	ケイオウシンセン	0
京王杯2歳S	ケイオウハイニサイステークス	1
京王杯2歳ステークス	ケイオウハイニサイステークス	0
京王杯3歳ステークス	ケイオウハイサンサイステークス	1
京王杯AH	ケイオウハイオータムハンデキャップ	1
京王杯SC	ケイオウハイスプリングカップ	1
京王杯オータムH	ケイオウハイオータムハンデキャップ	1
京王杯オータムハンデ	ケイオウハイオータムハンデ	1
京王杯オータムハンデキャップ	ケイオウハイオータムハンデキャップ	1
京王杯スプリングC	ケイオウハイスプリングカップ	1
京王杯スプリングカップ	ケイオウハイスプリングカップ	0
京王杯スプリングハンデ	ケイオウハイスプリングハンデ	1
京王杯スプリングハンデキャップ	ケイオウハイスプリングハンデキャップ	1
京王杯スリリングカップ	ケイオウハイスリリングカップ	0
京王永山駅	ケイオウナガヤマエキ	1
京王片倉	ケイオウカタクラ	1
京王片倉駅	ケイオウカタクラエキ	0
京王相模原線	ケイオウサガミハラセン	1
京王稲田堤駅	ケイオウイナダヅツミエキ	0
京王線	ケイオウセン	0
京王線のいつもの人	ケイオウセンノイツモノヒト	1
京王線の人	ケイオウセンノヒト	0
京王線グリーン車	ケイオウセングリーンシャ	0
京王線新宿駅	ケイオウセンシンジュクエキ	1
京王美佐島駅	ケイオウミサシマエキ	0
京王自動車	ケイオウジドウシャ	0
京王電鉄	ケイオウデンテツ	0
京王電鉄バス	ケイオウデンテツバス	1
京王電鉄株式会社	ケイオウデンテツカブシキガイシャ	1
京王高尾線	ケイオウタカオセン	1
京産大	キョウサンダイ	1
京田	キョウダ	0
京田尚子	キョウダヒサコ	0
京田知己	キョウダトモキ	0
京田辺	キョウタナベ	1
京田辺PA	キョウタナベパーキングエリア	0
京田辺市	キョウタナベシ	0
京田陽太	キョウダヨウタ	0
京町セイカ	キョウマチセイカ	0
京町セイカの精華町ほのぼの再興記	キョウマチセイカノセイカチョウホノボノサイコウキ	0
京町セイカファンのダークサイド	キョウマチセイカファンノダークサイド	1
京町セイカ実況プレイ	キョウマチセイカジッキョウプレイ	0
京町セイカ素材リンク	キョウマチセイカソザイリンク	0
京福	ケイフク	1
京福バス	ケイフクバス	0
京福リムジンバス	ケイフクリムジンバス	1
京福電気鉄道	ケイフクデンキテツドウ	0
京福電鉄	ケイフクデンテツ	1
京結	キョウユイ	1
京綾	チトセホイホイ	0
京菜	キョウナ	1
京葉JCT	ケイヨウジャンクション	1
京葉S	ケイヨウステークス	1
京葉ジャンクション	ケイヨウジャンクション	0
京葉ステークス	ケイヨウステークス	0
京葉市川PA	ケイヨウイチカワパーキングエリア	0
京葉市川パーキングエリア	ケイヨウイチカワパーキングエリア	1
京葉線	ケイヨウセン	0
京葉道路	ケイヨウドウロ	0
京言葉	キョウコトバ	0
京都	キョウト	0
京都2歳S	キョウトニサイステークス	1
京都2歳ステークス	キョウトニサイステークス	0
京都3歳ステークス	キョウトサンサイステークス	1
京都4歳特別	キョウトヨンサイトクベツ	0
京都HJ	キョウトハイジャンプ	1
京都JS	キョウトジャンプステークス	1
京都P	トウキョウヘイジュウヨテイキョウトザイジュウピー	0
京都が誇る名産品	キョウトガホコルメイサンヒン	0
京都の学生	キョウトノガクセイ	1
京都アストドリームス	キョウトアストドリームス	1
京都アニメーション	キョウトアニメーション	0
京都アニメーション放火事件	キョウトアニメーションホウカジケン	0
京都アニメーション放火殺人事件	キョウトアニメーションホウカサツジンジケン	1
京都サンガ	キョウトサンガ	1
京都サンガF.C.	キョウトサンガエフシー	0
京都サンガFC	キョウトサンガエフシー	1
京都ジャンプS	キョウトジャンプステークス	1
京都ジャンプステークス	キョウトジャンプステークス	0
京都タワー	キョウトタワー	0
京都ハイジャンプ	キョウトハイジャンプ	0
京都ハンナリーズ	キョウトハンナリーズ	0
京都バス	キョウトバス	0
京都パープルサンガ	キョウトパープルサンガ	1
京都フローラ	キョウトフローラ	0
京都三大女子大	キョウトサンダイジョシダイ	1
京都丹後鉄道	キョウトタンゴテツドウ	0
京都丹波道路	キョウトタンバドウロ	1
京都交通	キョウトコウツウ	0
京都南IC	キョウトミナミインターチェンジ	1
京都南インターチェンジ	キョウトミナミインターチェンジ	0
京都四条南座	キョウトシジョウミナミザ	1
京都四條南座	キョウトシジョウミナミザ	0
京都四歳特別	キョウトヨンサイトクベツ	1
京都国立博物館	キョウトコクリツハクブツカン	0
京都国際マンガ・アニメフェア	キョウトコクサイマンガアニメフェア	0
京都国際中学校・高等学校	キョウトコクサイチュウガッコウコウトウガッコウ	0
京都大作戦	キョウトダイサクセン	0
京都大学	キョウトダイガク	0
京都大賞典	キョウトダイショウテン	0
京都大賞典(ウマ娘)	キョウトダイショウテン	0
京都寺町三条のホームズ	キョウトテラマチサンジョウノホームズ	0
京都嵐山	キョウトアラシヤマ	1
京都工芸繊維大学	キョウトコウゲイセンイダイガク	0
京都市	キョウトシ	0
京都市バス	キョウトシバス	0
京都市交通局	キョウトシコウツウキョク	0
京都市交通局10系	キョウトシコウツウキョクジュッケイ	0
京都市内の通り	キョウトシナイノトオリ	0
京都市営バス	キョウトシエイバス	1
京都市営地下鉄	キョウトシエイチカテツ	1
京都市営地下鉄東西線	キョウトシエイチカテツトウザイセン	1
京都市営地下鉄烏丸線	キョウトシエイチカテツカラスマセン	1
京都市西京極総合運動公園野球場	キョウトシニシキョウゴクソウゴウウンドウコウエンヤキュウジョウ	0
京都幻想劇団	キョウトゲンソウゲキダン	0
京都府	キョウトフ	0
京都府:市町村の一覧	キョウトフシチョウソンノイチラン	0
京都府八幡市	キョウトフヤワタシ	1
京都府南丹市	キョウトフナンタンシ	1
京都府向日市	キョウトフムコウシ	1
京都府宮津市	キョウトフミヤヅシ	1
京都府木津川市	キョウトフキヅガワシ	1
京都府福知山市	キョウトフフクチヤマシ	1
京都府立京都スタジアム	キョウトフリツキョウトスタジアム	0
京都府綾部市	キョウトフアヤベシ	1
京都弁	キョウトベン	1
京都扶持衆	キョウトフチシュウ	0
京都放送	キョウトホウソウ	0
京都教育大学	キョウトキョウイクダイガク	0
京都新聞杯	キョウトシンブンハイ	0
京都本線	キョウトホンセン	0
京都東IC	キョウトヒガシインターチェンジ	1
京都東インターチェンジ	キョウトヒガシインターチェンジ	0
京都水族館	キョウトスイゾクカン	0
京都河原町駅	キョウトカワラマチエキ	0
京都深草	キョウトフカクサ	1
京都牝馬S	キョウトヒンバステークス	1
京都牝馬ステークス	キョウトヒンバステークス	0
京都牝馬特別	キョウトヒンバトクベツ	1
京都王将	キョウトオウショウ	1
京都産業大学	キョウトサンギョウダイガク	0
京都盃	キョウトハイ	1
京都競馬場	キョウトケイバジョウ	0
京都精華大学	キョウトセイカダイガク	0
京都総合運転所	キョウトソウゴウウンテンジョ	0
京都線	キョウトセン	0
京都縦貫自動車道	キョウトジュウカンジドウシャドウ	0
京都縦貫道	キョウトジュウカンドウ	1
京都腐警	キョウトフケイ	0
京都見廻組	キョウトミマワリグミ	0
京都観光バス	キョウトカンコウバス	1
京都記念	キョウトキネン	0
京都農商省賞典4歳呼馬	キクカショウ	1
京都農商省賞典四歳呼馬	キクカショウ	1
京都農林省賞典4歳呼馬	キクカショウ	1
京都農林省賞典四歳呼馬	キクカショウ	1
京都金杯	キョウトキンパイ	0
京都鉄道博物館	キョウトテツドウハクブツカン	0
京都銀行	キョウトギンコウ	0
京都駅	キョウトエキ	0
京都高速久世橋線	キョウトコウソククゼバシセン	0
京都高速堀川線	キョウトコウソクホリカワセン	0
京都高速西大路線	キョウトコウソクニシオオジセン	0
京都高速道路	キョウトコウソクドウロ	0
京都鴨川十条	キョウトカモガワジュウジョウ	1
京阪	ケイハン	0
京阪(枚方市)の人	ケイハンヒラカタシノヒト	0
京阪(車掌)の人	ケイハンシャショウノヒト	0
京阪600形	ケイハンロッピャクガタ	0
京阪700形	ケイハンナナヒャクガタ	0
京阪800系	ケイハンハッピャクケイ	0
京阪80型	ケイハンハチジュウガタ	0
京阪シティバス	ケイハンシティバス	1
京阪バス	ケイハンバス	0
京阪バス株式会社	ケイハンバスカブシキガイシャ	1
京阪京都交通	ケイハンキョウトコウツウ	0
京阪大津線	ケイハンオオツセン	1
京阪山科	ケイハンヤマシナ	1
京阪山科駅	ケイハンヤマシナエキ	0
京阪本線	ケイハンホンセン	1
京阪杯	ケイハンハイ	0
京阪石山	ケイハンイシヤマ	1
京阪石山駅	ケイハンイシヤマエキ	0
京阪神	ケイハンシン	0
京阪神大都市圏	ケイハンシンダイトシケン	1
京阪神急行電鉄	ケイハンシンキュウコウデンテツ	1
京阪連絡道路	ケイハンレンラクドウロ	0
京阪電気鉄道	ケイハンデンキテツドウ	1
京阪電気鉄道株式会社	ケイハンデンキテツドウカブシキガイシャ	1
京阪電車	ケイハンデンシャ	0
京阪電鉄	ケイハンデンテツ	1
京音ロン	ケイネロン	0
京騒戯画	キョウソウギガ	0
亭	テイ	0
亮	リョウ	0
亮シリーズ	リョウシリーズ	1
亮太	リョウタ	0
亮寛	リョウカン	1
亮斗（ロリコン）	リョウトカッコロリコンカッコトジ	0
亮月	シロサトノオトウト	0
亮氏	リョウシ	1
亯	キョウ	1
亰	ケイ	1
人	ヒト	0
人(んちゅ)	ンチュ	0
人々の夢と希望をつなぐため、東京五輪の開催を支持します	ヒトビトノユメトキボウヲツナグタメトウキョウオリンピックノカイサイヲシジシマス	1
人々の誕生	ヒトビトノタンジョウ	0
人いるわちまう	ウマチワルイヒト	1
人がゴミのようだ	ヒトガゴミノヨウダ	1
人がゴミのようだ!	ヒトガゴミノヨウダ	1
人が敗北する原因は...「恥」のためだ	ヒトガハイボクスルゲンインハハジノタメダ	1
人が星に願う訳	ヒトガホシニネガウワケ	1
人が隣にいると優しくなれる動画	ヒトガトナリニイルトヤサシクナレルドウガ	0
人それぞれ	ヒトソレゾレ	0
人づきあいのレッスン―自分と相手を受け入れる方法	ヒトヅキアイノレッスンジブントアイテヲウケイレルホウホウ	0
人ですか？	ヒトデスカ	0
人として軸がぶれている	ヒトトシテジクガブレテイル	0
人として軸がぶれているでらっぷしてみた	ヒトトシテジクガブレテイルデラップシテミタ	1
人として軸がぶれているらっぷ	ヒトトシテジクガブレテイルラップ	0
人と妖と人形と	ヒトトアヤカシトニンギョウト	0
人にやさしく	ヒトニヤサシク	0
人に迷惑をかけるな	ヒトニメイワクヲカケルナ	0
人に非ざるかな	ヒトニアラザルカナ	1
人のような物体	ヒトノヨウナブッタイ	1
人のセックスを笑うな	ヒトノセックスヲワラウナ	0
人の人	ヒトノヒト	1
人の噂も75日	ヒトノウワサモシチジュウゴニチ	1
人の噂も七十五日	イツマデモヒキズルナトイウオシエ	0
人の子など孕みとうない	イイヤジャヒトノコナドハラミトウナイ	0
人の屑作戦	ヒトノクズサクセン	0
人の心とかないんか	ヒトノココロトカナインカ	1
人の心とかないんか？	ヒトノココロトカナインカ	0
人の持つ可能性	ヒトノモツカノウセイ	0
人の持つ本質は光だ	ヒトノモツホンシツハヒカリダ	0
人の褌で相撲を取る	ヒトノフンドシデスモウヲトル	1
人の顔のアイコン	ヒトノカオノアイコン	1
人は、キシンになれる。	ミンナヘンタイナンダヨ	0
人は「恥」のために死ぬ	ヒトハハジノタメニシヌ	0
人はいずれ死ぬのでカロリーゼロ	ヒトハイズレシヌノデカロリーゼロ	1
人は恥のために死ぬ	ヒトハハジノタメニシヌ	1
人は死ぬ	ヒトハシヌ	0
人も街も崩壊する神奈川	ヒトモマチモホウカイスルカナガワ	0
人をダメにするソファ	ヒトヲダメニスルソファ	0
人を呪わば穴二つ	ヒトヲノロワバアナフタツ	0
人を怒らせる方法	ヒトヲオコラセルホウホウ	0
人を操る不思議な紙	ヒトヲアヤツルフシギナカミ	0
人を死なせてる、3人	ヒトヲシナセテルサンニン	0
人を狂わす程度のタイツ	ヒトヲクルワステイドノタイツ	0
人を萌え殺す程度の能力	チェェェェェェェェェェェェェェェェェェェェェェェェェェェェェェェェェェェェェェェェェェェェェェェェン	0
人を見た目と中身で判断するな	ヒトヲミタメトナカミデハンダンスルナ	0
人を駄目にするソファ	ヒトヲダメニスルソファ	1
人マニア	ヒトマニア	0
人マニア(原口沙輔)	ヒトマニア	1
人丸前駅	ヒトマルマエエキ	0
人丸駅	ヒトマルエキ	0
人修羅	ヒトシュラ	0
人参	ニンジン	1
人参ステーキ	ニンジンステーキ	0
人吉	ヒトヨシ	0
人吉善吉	ヒトヨシゼンキチ	0
人吉市	ヒトヨシシ	0
人吉瞳	ヒトヨシヒトミ	0
人和	レンホウ	0
人喰いの大鷲トリコ	ヒトクイノオオワシトリコ	0
人喰いゆかり	ヒトクイユカリ	0
人喰いバクテリア	ヒトクイバクテリア	1
人型ロボット兵器	ヒトガタロボットヘイキ	1
人型機動兵器	ヒトガタキドウヘイキ	1
人夜月P	ヒトヨツキピー	0
人夢P	ヒトユメピー	0
人妻	ヒトヅマ	0
人妻が座薬を注入される表情	ヒトヅマガザヤクヲチュウニュウサレルヒョウジョウ	0
人妻だけどダンナにバレなきゃ問題ないよね	ヒトヅマダケドダンナニバレナキャモンダイナイヨネ	0
人妻とセッションしてみた	ヒトヅマトセッションシテミタ	0
人妻の一覧	ヒトヅマオクサンママンノイチラン	1
人妻の唇は缶チューハイの味がして	ヒトヅマノクチビルハカンチューハイノアジガシテ	0
人妻を寝取ってみた	ヒトヅマヲネトッテミタ	1
人妻ティータイム	ヒトヅマティータイム	1
人妻ネイリスト姉貴	テント	1
人妻卓	ヒトヅマタク	1
人妻好きの人修羅	ヒトヅマダイスキヒトシュラサン	0
人妻羞恥幼女プレイ	ヒトヅマシュウチヨウジョプレイ	1
人妻野郎	ヒトヅマヤロウ	1
人妻駄メイド民明エルフ	リッチャンハヒロインデスヨ	0
人小路庚江	ヒトコウジカノエ	1
人工冬眠	コールドスリープ	1
人工頭脳電車	オートカー	1
人形	ニンギョウ	0
人形(天野月子)	ニンギョウ	0
人形と左目	ニンゲヨウトヒダリメ	1
人形のある風景	ニンギョウノアルフウケイ	0
人形の傷跡	ニンギョウノキズアト	0
人形の国のバレリーナ	ニンギョウノクニノバレリーナ	1
人形の夢と目覚め	ニンギョウノユメトメザメ	0
人形の姫ササリアナ	ニンギョウノヒメササリアナ	0
人形の森	ニンギョウノモリ	0
人形供養	ニンギョウクヨウ	0
人形劇	ニンギョウゲキ	0
人形劇 三国志	ニンギョウゲキサンゴクシ	1
人形劇三国志	ニンギョウゲキサンゴクシ	0
人形浄瑠璃	ニンギョウジョウルリ	0
人形町駅	ニンギョウチョウエキ	0
人形裁判	ニンギョウサイバン	0
人形裁判　～ 人の形弄びし少女	ニンギョウサイバンヒトノカタモテアソビシショウジョ	1
